ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,       S-Mises
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           149,             1,      -4.68592,   91.3462E-03,   327.201E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   171.936E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           149,             1,      -4.68592,   91.3462E-03,   327.201E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   143.519E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           150,             1,      -4.69728,   60.8974E-03,   182.565E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   112.155E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           150,             1,      -4.69728,   60.8974E-03,   182.565E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   73.7881E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           151,             1,      -4.68592,   91.3462E-03,   46.3703E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   60.4093E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           151,             1,      -4.68592,   91.3462E-03,   46.3703E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   52.2884E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           152,             1,      -4.68592,   91.3462E-03,  -149.722E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   66.8620E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           152,             1,      -4.68592,   91.3462E-03,  -149.722E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   66.4874E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           153,             1,      -2.98211,       4.65865,  -86.2947E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   66.9574E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           153,             1,      -2.98211,       4.65865,  -86.2947E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   8.41543E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           154,             1,      -3.05026,       4.47596,  -88.2669E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   67.1260E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           154,             1,      -3.05026,       4.47596,  -88.2669E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SNEG, (fraction = -1.0)",   9.48306E+06
C:/Users/matan/OneDrive - Delft University of Technology/Bureaublad/Matan Neumark/TUDelft Master Aerospace Engineering/Year 1/Q3/AE4204 Knowledge based engineering/Assignment/KBE_newnewgit/Parts/output/wing_box_job.odb,analysis1,Increment     15: Step Time =    1.000,"FRONT_SPAR-INSTANCE",           155,             1,      -3.11841,       4.29327,  -90.2391E-03,"ASSEMBLY_FRONT_SPAR-INSTANCE_FRONT_SPAR","USER-CHOSEN_MATERIAL","shell < USER-CHOSEN_MATERIAL > < 5 section points > : SPOS, (fraction = 1.0)",   61.5841E+06
